74,IL_MEN_FTHEADCOACH_MALE,Num,8,,,Total # Men's HD Coach/Male/Full-Time,,StaffAndSalaries,,men,,,,head,,FullTime,
75,IL_MEN_PTHEADCOACH_MALE,Num,8,,,Total # Men's HD Coach/Male/Part-Time,,StaffAndSalaries,,men,,,,head,,,PartTime
76,IL_MEN_FTUNIVEMPLOY_MALE,Num,8,,,Total # Men's HD Coach/Male/FTEmp,,StaffAndSalaries,,men,,,,head,,FullTime,
77,IL_MEN_PTUNIVEMPLOY_MALE,Num,8,,,Total # Men's HD Coach/Male/PTEmp,,StaffAndSalaries,,men,,,,head,,,PartTime
78,IL_MEN_FTHEADCOACH_FEM,Num,8,,,Total # Men's HD Coach/Female/Full-Time,,StaffAndSalaries,,men,,,,head,,FullTime,
79,IL_MEN_PTHEADCOACH_FEM,Num,8,,,Total # Men's HD Coach/Female/Part-Time,,StaffAndSalaries,,men,,,,head,,,PartTime
80,IL_MEN_FTUNIVEMPLOY_FEM,Num,8,,,Total # Men's HD Coach/Female/FTEmp,,StaffAndSalaries,,men,,,,head,,FullTime,
81,IL_MEN_PTUNIVEMPLOY_FEM,Num,8,,,Total # Men's HD Coach/Female/PTEmp,,StaffAndSalaries,,men,,,,head,,,PartTime
82,IL_MEN_TOTAL_HEADCOACH,Num,8,,,Total # HD Coach/Men's Team,,StaffAndSalaries,,men,,,,head,,,
83,IL_WOMEN_FTHDCOACH_MALE,Num,8,,,Total # Women's HD Coach/Male/Full-Time,,StaffAndSalaries,,,women,,,head,,FullTime,
84,IL_WOMEN_PTHDCOACH_MALE,Num,8,,,Total # Women's HD Coach/Male/Part-Time,,StaffAndSalaries,,,women,,,head,,,PartTime
85,IL_WOMEN_FTUNIVEMP_MALE,Num,8,,,Total # Women's HD Coach/Male/FTEmp,,StaffAndSalaries,,,women,,,head,,FullTime,
86,IL_WOMEN_PTUNIVEMP_MALE,Num,8,,,Total # Women's HD Coach/Male/PTEmp,,StaffAndSalaries,,,women,,,head,,,PartTime
87,IL_WOMEN_FTHDCOACH_FEM,Num,8,,,Total # Women's HD Coach/Female/Full-Time,,StaffAndSalaries,,,women,,,head,,FullTime,
88,IL_WOMEN_PTHDCOACH_FEM,Num,8,,,Total # Women's HDCoach/Female/Part-Time,,StaffAndSalaries,,,women,,,head,,,PartTime
89,IL_WOMEN_FTUNIVEMP_FEM,Num,8,,,Total # Women's HDCoach/Female/FTEmp,,StaffAndSalaries,,,women,,,head,,FullTime,
90,IL_WOMEN_PTUNIVEMP_FEM,Num,8,,,Total # Women's HD Coach/Female/PTEmp,,StaffAndSalaries,,,women,,,head,,,PartTime
91,IL_WOMEN_TOTAL_HDCOACH,Num,8,,,Total # HDCoach/Women's Team,,StaffAndSalaries,,,women,,,head,,,
92,IL_COED_FTHDCOACH_MALE,Num,8,,,Total # Coed HD Coach//Male/Full-Time,,StaffAndSalaries,,,,coed,,head,,FullTime,
93,IL_COED_PTHDCOACH_MALE,Num,8,,,Total # Coed HD Coach/Male/Part-Time,,StaffAndSalaries,,,,coed,,head,,,PartTime
94,IL_COED_FTUNIVEMP_MALE,Num,8,,,Total # Coed HD Coach/Male/FTEmp,,StaffAndSalaries,,,,coed,,head,,FullTime,
95,IL_COED_PTUNIVEMP_MALE,Num,8,,,Total # Coed HD Coach/Male/PTEmp,,StaffAndSalaries,,,,coed,,head,,,PartTime
96,IL_COED_FTHDCOACH_FEM,Num,8,,,Total # Coed HD Coach/Female/Full-Time,,StaffAndSalaries,,,,coed,,head,,FullTime,
97,IL_COED_PTHDCOACH_FEM,Num,8,,,Total # Coed HD Coach/Female/Part-Time,,StaffAndSalaries,,,,coed,,head,,,PartTime
98,IL_COED_FTUNIVEMP_FEM,Num,8,,,Total # Coed HD Coach/Female/FTEmp,,StaffAndSalaries,,,,coed,,head,,FullTime,
99,IL_COED_PTUNIVEMP_FEM,Num,8,,,Total # Coed HD Coach/Female/PTEmp,,StaffAndSalaries,,,,coed,,head,,,PartTime
100,IL_COED_TOTAL_HDCOACH,Num,8,,,Total # Coed Team HD Coaches,,StaffAndSalaries,,,,coed,,head,,,
101,IL_SUM_FTHDCOACH_MALE,Num,8,,,Total # Male HD Coaches/Men/Women/Coed/Full-Time,,StaffAndSalaries,,men,,,,head,,FullTime,
102,IL_SUM_PTHDCOACH_MALE,Num,8,,,Total # Male HD Coaches/Men/Women/Coed/Part-Time,,StaffAndSalaries,,men,,,,head,,,PartTime
103,IL_SUM_FTUNIVEMP_MALE,Num,8,,,Total # Male HD Coaches/Men/Women/Coed/FTEmp,,StaffAndSalaries,,men,,,,head,,FullTime,
104,IL_SUM_PTUNIVEMP_MALE,Num,8,,,Total # Male HD Coaches/Men/Women/Coed/PTEmp,,StaffAndSalaries,,men,,,,head,,,PartTime
105,IL_SUM_FTHDCOACH_FEM,Num,8,,,Total # Female HD Coaches/Men/Women/Coed/Full-Time,,StaffAndSalaries,,,women,,,head,,FullTime,
106,IL_SUM_PTHDCOACH_FEM,Num,8,,,Total # Female HD Coaches/Men/Women/Coed/Part-Time,,StaffAndSalaries,,,women,,,head,,,PartTime
107,IL_SUM_FTUNIVEMP_FEM,Num,8,,,Total # Female HD Coaches/Men/Women/Coed/FTEmp,,StaffAndSalaries,,,women,,,head,,FullTime,
108,IL_SUM_PTUNIVEMP_FEM,Num,8,,,Total # Female HD Coaches/Men/Women/Coed/PTEmp,,StaffAndSalaries,,,women,,,head,,,PartTime
109,IL_SUM_TOTAL_HDCOACH,Num,8,,,Total # HD Coaches/Men/Women/Coed Teams,,StaffAndSalaries,,,,,total,head,,,
110,IL_MEN_FTASCOACH_MALE,Num,8,,,Total # Men's Assist. Coach/Male/Full-Time,,StaffAndSalaries,,men,,,,,assistant,FullTime,
111,IL_MEN_PTASCOACH_MALE,Num,8,,,Total # Men's Assist. Coach/Male/Part-Time,,StaffAndSalaries,,men,,,,,assistant,,PartTime
112,IL_MEN_FTACUNIVEMP_MALE,Num,8,,,Total # Men's Assist. Coach/Male/FTEmp,,StaffAndSalaries,,men,,,,,assistant,FullTime,
113,IL_MEN_PTACUNIVEMP_MALE,Num,8,,,Total # Men's Assist. Coach/Male/PTEmp,,StaffAndSalaries,,men,,,,,assistant,,PartTime
114,IL_MEN_FTASSTCOACH_FEM,Num,8,,,Total # Men's Assist. Coach/Female/Full-Time,,StaffAndSalaries,,men,,,,,assistant,FullTime,
115,IL_MEN_PTASSTCOACH_FEM,Num,8,,,Total # Men's Assist. Coach/Female/Part-Time,,StaffAndSalaries,,men,,,,,assistant,,PartTime
116,IL_MEN_FTACUNIVEMP_FEM,Num,8,,,Total # Men's Assist. Coach/Female/FTEmp,,StaffAndSalaries,,men,,,,,assistant,FullTime,
117,IL_MEN_PTACUNIVEMP_FEM,Num,8,,,Total # Men's Assist. Coach/Female/PTEmp,,StaffAndSalaries,,men,,,,,assistant,,PartTime
118,IL_MEN_TOTAL_ASSTCOACH,Num,8,,,Total Number of Total Assist. Coaches in Men's Team,,StaffAndSalaries,,men,,,,,assistant,,
119,IL_WOMEN_FTASCOACH_MALE,Num,8,,,Total # Women's Assist. Coach/Male/Full-Time,,StaffAndSalaries,,,women,,,,assistant,FullTime,
